
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p
 4.260000e-04      2.500448e+00      8.729612e-01     -2.583113e-04     
 4.280000e-04      2.500437e+00      8.729663e-01     -2.583110e-04     
 4.300000e-04      2.500425e+00      8.729713e-01     -2.583107e-04     
 4.320000e-04      2.500414e+00      8.729764e-01     -2.583104e-04     
 4.340000e-04      2.500402e+00      8.729816e-01     -2.583101e-04     
 4.360000e-04      2.500391e+00      8.729867e-01     -2.583097e-04     
 4.380000e-04      2.500379e+00      8.729919e-01     -2.583094e-04     
 4.400000e-04      2.500368e+00      8.729971e-01     -2.583091e-04     
 4.420000e-04      2.500356e+00      8.730024e-01     -2.583088e-04     
 4.440000e-04      2.500344e+00      8.730077e-01     -2.583084e-04     
 4.460000e-04      2.500332e+00      8.730129e-01     -2.583081e-04     
 4.480000e-04      2.500320e+00      8.730183e-01     -2.583078e-04     
 4.500000e-04      2.500309e+00      8.730236e-01     -2.583074e-04     
 4.520000e-04      2.500297e+00      8.730290e-01     -2.583071e-04     
 4.540000e-04      2.500285e+00      8.730344e-01     -2.583068e-04     
 4.560000e-04      2.500272e+00      8.730398e-01     -2.583064e-04     
 4.580000e-04      2.500260e+00      8.730452e-01     -2.583061e-04     
 4.600000e-04      2.500248e+00      8.730507e-01     -2.583057e-04     
 4.620000e-04      2.500236e+00      8.730561e-01     -2.583054e-04     
 4.640000e-04      2.500224e+00      8.730616e-01     -2.583051e-04     
 4.660000e-04      2.500212e+00      8.730671e-01     -2.583047e-04     
 4.680000e-04      2.500199e+00      8.730726e-01     -2.583044e-04     
 4.700000e-04      2.500187e+00      8.730782e-01     -2.583040e-04     
 4.720000e-04      2.500175e+00      8.730837e-01     -2.583037e-04     
 4.740000e-04      2.500162e+00      8.730893e-01     -2.583033e-04     
 4.760000e-04      2.500150e+00      8.730949e-01     -2.583030e-04     
 4.780000e-04      2.500137e+00      8.731005e-01     -2.583026e-04     
 4.800000e-04      2.500125e+00      8.731060e-01     -2.583023e-04     
 4.820000e-04      2.500112e+00      8.731117e-01     -2.583019e-04     
 4.840000e-04      2.500100e+00      8.731173e-01     -2.583016e-04     
 4.860000e-04      2.500087e+00      8.731229e-01     -2.583012e-04     
 4.880000e-04      2.500075e+00      8.731285e-01     -2.583009e-04     
 4.900000e-04      2.500062e+00      8.731342e-01     -2.583005e-04     
 4.920000e-04      2.500050e+00      8.731398e-01     -2.583002e-04     
 4.940000e-04      2.500037e+00      8.731455e-01     -2.582998e-04     
