
freq (Hz)         v("VIN" ?resul    v("VOUT" ?resu
 1.513561e+04      1.000000e-03      1.963586e-02     
 1.584893e+04      1.000000e-03      1.934061e-02     
 1.659586e+04      1.000000e-03      1.903169e-02     
 1.737800e+04      1.000000e-03      1.870941e-02     
 1.819700e+04      1.000000e-03      1.837420e-02     
 1.905460e+04      1.000000e-03      1.802658e-02     
 1.995262e+04      1.000000e-03      1.766721e-02     
 2.089296e+04      1.000000e-03      1.729686e-02     
 2.187761e+04      1.000000e-03      1.691639e-02     
 2.290867e+04      1.000000e-03      1.652676e-02     
 2.398832e+04      1.000000e-03      1.612902e-02     
 2.511886e+04      1.000000e-03      1.572428e-02     
 2.630267e+04      1.000000e-03      1.531372e-02     
 2.754228e+04      1.000000e-03      1.489854e-02     
 2.884031e+04      1.000000e-03      1.447998e-02     
 3.019951e+04      1.000000e-03      1.405926e-02     
 3.162277e+04      1.000000e-03      1.363763e-02     
 3.311311e+04      1.000000e-03      1.321626e-02     
 3.467368e+04      1.000000e-03      1.279634e-02     
 3.630780e+04      1.000000e-03      1.237895e-02     
 3.801893e+04      1.000000e-03      1.196516e-02     
 3.981071e+04      1.000000e-03      1.155594e-02     
 4.168693e+04      1.000000e-03      1.115219e-02     
 4.365158e+04      1.000000e-03      1.075471e-02     
 4.570881e+04      1.000000e-03      1.036426e-02     
 4.786300e+04      1.000000e-03      9.981473e-03     
 5.011872e+04      1.000000e-03      9.606909e-03     
 5.248074e+04      1.000000e-03      9.241049e-03     
 5.495408e+04      1.000000e-03      8.884294e-03     
 5.754399e+04      1.000000e-03      8.536964e-03     
 6.025595e+04      1.000000e-03      8.199311e-03     
 6.309573e+04      1.000000e-03      7.871516e-03     
 6.606934e+04      1.000000e-03      7.553701e-03     
 6.918309e+04      1.000000e-03      7.245932e-03     
 7.244359e+04      1.000000e-03      6.948221e-03     
 7.585775e+04      1.000000e-03      6.660537e-03     
 7.943282e+04      1.000000e-03      6.382807e-03     
 8.317637e+04      1.000000e-03      6.114926e-03     
 8.709635e+04      1.000000e-03      5.856753e-03     
 9.120108e+04      1.000000e-03      5.608126e-03     
 9.549925e+04      1.000000e-03      5.368858e-03     
 1.000000e+05      1.000000e-03      5.138744e-03     
 1.047128e+05      1.000000e-03      4.917565e-03     
 1.096478e+05      1.000000e-03      4.705089e-03     
 1.148153e+05      1.000000e-03      4.501076e-03     
 1.202264e+05      1.000000e-03      4.305278e-03     
 1.258925e+05      1.000000e-03      4.117444e-03     
 1.318256e+05      1.000000e-03      3.937319e-03     
 1.380384e+05      1.000000e-03      3.764649e-03     
 1.445439e+05      1.000000e-03      3.599178e-03     
 1.513561e+05      1.000000e-03      3.440654e-03     
 1.584893e+05      1.000000e-03      3.288827e-03     
 1.659586e+05      1.000000e-03      3.143448e-03     
 1.737800e+05      1.000000e-03      3.004278e-03     
 1.819700e+05      1.000000e-03      2.871078e-03     
 1.905460e+05      1.000000e-03      2.743616e-03     
 1.995262e+05      1.000000e-03      2.621667e-03     
 2.089296e+05      1.000000e-03      2.505011e-03     
 2.187761e+05      1.000000e-03      2.393434e-03     
 2.290867e+05      1.000000e-03      2.286730e-03     
 2.398832e+05      1.000000e-03      2.184698e-03     
 2.511886e+05      1.000000e-03      2.087145e-03     
 2.630267e+05      1.000000e-03      1.993883e-03     
 2.754228e+05      1.000000e-03      1.904732e-03     
 2.884031e+05      1.000000e-03      1.819518e-03     
 3.019951e+05      1.000000e-03      1.738073e-03     
 3.162277e+05      1.000000e-03      1.660237e-03     
 3.311311e+05      1.000000e-03      1.585854e-03     
 3.467368e+05      1.000000e-03      1.514775e-03     
 3.630780e+05      1.000000e-03      1.446856e-03     
 3.801893e+05      1.000000e-03      1.381962e-03     
 3.981071e+05      1.000000e-03      1.319959e-03     
 4.168693e+05      1.000000e-03      1.260722e-03     
 4.365158e+05      1.000000e-03      1.204129e-03     
 4.570881e+05      1.000000e-03      1.150063e-03     
 4.786300e+05      1.000000e-03      1.098415e-03     
 5.011872e+05      1.000000e-03      1.049076e-03     
 5.248074e+05      1.000000e-03      1.001946e-03     
 5.495408e+05      1.000000e-03      9.569257e-04     
 5.754399e+05      1.000000e-03      9.139219e-04     
 6.025595e+05      1.000000e-03      8.728451e-04     
 6.309573e+05      1.000000e-03      8.336099e-04     
 6.606934e+05      1.000000e-03      7.961341e-04     
 6.918309e+05      1.000000e-03      7.603395e-04     
 7.244359e+05      1.000000e-03      7.261511e-04     
 7.585775e+05      1.000000e-03      6.934972e-04     
 7.943282e+05      1.000000e-03      6.623093e-04     
 8.317637e+05      1.000000e-03      6.325218e-04     
 8.709635e+05      1.000000e-03      6.040723e-04     
 9.120108e+05      1.000000e-03      5.769007e-04     
 9.549925e+05      1.000000e-03      5.509500e-04     
 1.000000e+06      1.000000e-03      5.261654e-04     
 1.047128e+06      1.000000e-03      5.024946e-04     
 1.096478e+06      1.000000e-03      4.798879e-04     
 1.148153e+06      1.000000e-03      4.582973e-04     
 1.202264e+06      1.000000e-03      4.376775e-04     
 1.258925e+06      1.000000e-03      4.179847e-04     
 1.318256e+06      1.000000e-03      3.991775e-04     
 1.380384e+06      1.000000e-03      3.812160e-04     
 1.445439e+06      1.000000e-03      3.640623e-04     
 1.513561e+06      1.000000e-03      3.476801e-04     
 1.584893e+06      1.000000e-03      3.320347e-04     
 1.659586e+06      1.000000e-03      3.170931e-04     
 1.737800e+06      1.000000e-03      3.028236e-04     
 1.819700e+06      1.000000e-03      2.891960e-04     
 1.905460e+06      1.000000e-03      2.761814e-04     
 1.995262e+06      1.000000e-03      2.637524e-04     
 2.089296e+06      1.000000e-03      2.518825e-04     
 2.187761e+06      1.000000e-03      2.405467e-04     
 2.290867e+06      1.000000e-03      2.297209e-04     
 2.398832e+06      1.000000e-03      2.193822e-04     
 2.511886e+06      1.000000e-03      2.095087e-04     
 2.630267e+06      1.000000e-03      2.000794e-04     
 2.754228e+06      1.000000e-03      1.910744e-04     
 2.884031e+06      1.000000e-03      1.824746e-04     
 3.019951e+06      1.000000e-03      1.742618e-04     
 3.162277e+06      1.000000e-03      1.664185e-04     
 3.311311e+06      1.000000e-03      1.589282e-04     
 3.467368e+06      1.000000e-03      1.517749e-04     
 3.630780e+06      1.000000e-03      1.449434e-04     
 3.801893e+06      1.000000e-03      1.384194e-04     
 3.981071e+06      1.000000e-03      1.321889e-04     
 4.168693e+06      1.000000e-03      1.262388e-04     
 4.365158e+06      1.000000e-03      1.205564e-04     
 4.570881e+06      1.000000e-03      1.151298e-04     
 4.786300e+06      1.000000e-03      1.099473e-04     
 5.011872e+06      1.000000e-03      1.049980e-04     
 5.248074e+06      1.000000e-03      1.002714e-04     
 5.495408e+06      1.000000e-03      9.575748e-05     
 5.754399e+06      1.000000e-03      9.144665e-05     
 6.025595e+06      1.000000e-03      8.732978e-05     
 6.309573e+06      1.000000e-03      8.339814e-05     
 6.606934e+06      1.000000e-03      7.964339e-05     
 6.918309e+06      1.000000e-03      7.605756e-05     
 7.244359e+06      1.000000e-03      7.263306e-05     
 7.585775e+06      1.000000e-03      6.936261e-05     
 7.943282e+06      1.000000e-03      6.623929e-05     
 8.317637e+06      1.000000e-03      6.325647e-05     
 8.709635e+06      1.000000e-03      6.040781e-05     
 9.120108e+06      1.000000e-03      5.768729e-05     
 9.549925e+06      1.000000e-03      5.508913e-05     
 1.000000e+07      1.000000e-03      5.260781e-05     
